E_latitude,E_longitude,D_latitude,D_longitude,O_latitude,O_longitude,S_latitude,S_longitude,Station,Num,ED,DO,OE,Shape,Area
37.4945193,127.108696,37.4938233,127.120478,37.4935714,127.120037,37.4944078,127.121553,가락시장,3,1.0423,0.0479,1.0061,Obtuse,0.016059311882354283
37.493168,127.030014,37.4987995,127.028976,37.5007825,127.025754,37.4978266,127.028614,강남,2,0.6329,0.3597,0.9264,Obtuse,0.07887653196436824
37.534123,127.092212,37.5339687,127.093637,37.5355005,127.093582,37.5369942,127.084012,강변,2,0.1268,0.1704,0.1951,Acute,0.010658603911516452
37.4986263,127.136567,37.4938233,127.120478,37.4973029,127.135637,37.496987,127.136077,개롱,5,1.5165,1.3922,0.1685,Obtuse,0.08258585558604087
37.4934907,127.144168,37.493823,127.144994,37.4927142,127.145523,37.4936264,127.143682,거여,5,0.0817,0.1318,0.1475,Acute,0.005353508862419114
37.540797,127.068967,37.5409414,127.068447,37.5407691,127.07045,37.5406878,127.070721,건대입구,2,0.0486,0.1776,0.1308,Obtuse,0.0009977095516732221
37.5766992,126.972187,37.5761407,126.972844,37.570439,126.980011,37.5771678,126.972594,경복궁,3,0.0849,0.8949,0.9798,Obtuse,0.0
37.4983099,127.120779,37.4938233,127.120478,37.4935714,127.120037,37.4944078,127.121553,경찰병원,3,0.4996,0.0479,0.5309,Obtuse,0.009331145533791647
37.3147543,126.823785,37.318707,126.834211,37.3126754,126.831584,37.3187588,126.826381,고잔,4,1.0214,0.7098,0.7274,Obtuse,0.25814133948665313
37.6203147,127.058403,37.6158339,127.06421,37.6232687,127.060932,37.6231337,127.060637,광운대,1,0.714,0.8757,0.3969,Obtuse,0.13949163471764756
37.4934678,127.017089,37.4941797,127.016581,37.4903597,127.013934,37.494216,127.013957,교대,3,0.091,0.4847,0.4438,Obtuse,0.01877877646429852
37.5381797,127.089298,37.5365071,127.084815,37.5365071,127.084815,37.5369942,127.084012,구의,2,0.4368,0.0,0.4368,Right,0.0
37.6458203,126.926122,37.6392025,126.919161,37.6342376,126.918532,37.6333289,126.920357,구파발,3,0.9577,0.5548,1.451,Obtuse,0.14877314539648012
37.3538891,126.946144,37.3496626,126.944624,37.3712323,126.94305,37.3724449,126.935778,군포,1,0.4888,2.4025,1.9478,Obtuse,0.19384226172797786
37.3711144,126.941413,37.3496626,126.944624,37.3712323,126.94305,37.3722964,126.944821,금정,1,2.4022,2.4025,0.1453,Acute,0.17445053048070702
37.4516026,126.902188,37.4545659,126.901054,37.4542057,126.901202,37.4559218,126.895729,금천구청,1,0.3444,0.0421,0.3023,Obtuse,0.0
37.6092718,127.02101,37.6030371,127.020351,37.6074343,127.017963,37.6020001,127.0253,길음,4,0.6957,0.5323,0.3373,Obtuse,0.08710500582905964
37.5334059,126.845182,37.5310923,126.846669,37.5322899,126.846079,37.5322899,126.846079,까치산,2,0.2887,0.143,0.1472,Obtuse,0.0021266118727552488
37.4789907,126.957731,37.4756868,126.96628,37.4776674,126.961191,37.4762,126.965036,낙성대,2,0.8391,0.5002,0.3389,Obtuse,0.0
37.4847008,127.018829,37.4855571,127.016183,37.4849986,127.015007,37.484377,127.014193,남부터미널,3,0.2521,0.1209,0.3389,Obtuse,0.012171386918117377
37.5131929,126.938177,37.5133674,126.944783,37.513367,126.943901,37.5133384,126.940858,노량진,1,0.583,0.0778,0.5052,Obtuse,0.0
37.6087184,126.926953,37.6122609,126.915997,37.599838,126.918412,37.6034616,126.935315,녹변,3,1.0424,1.3977,1.2414,Acute,0.6246844489797417
37.6708109,127.080352,37.6701705,127.081473,37.6563881,127.062193,37.6606973,127.057097,당고개,4,0.1217,2.2867,2.2643,Obtuse,0.13604986683811637
37.3440061,126.948871,37.3496626,126.944624,37.3466528,126.943847,37.3431596,126.949741,당정,1,0.7325,0.3417,0.5328,Obtuse,0.08444874640342513
37.4924937,126.895836,37.4945687,126.898977,37.4840482,126.902722,37.4856908,126.895495,대림,2,0.3606,1.2156,1.1185,Obtuse,0.20021405019570268
37.5128808,126.928337,37.512393,126.926223,37.51232,126.924786,37.5133384,126.940858,대방,1,0.1942,0.127,0.3194,Obtuse,0.0026507770040311
37.4903872,127.081598,37.498384,127.057553,37.4840062,127.08444,37.4979818,127.068499,대청,3,2.3002,2.8606,0.7525,Obtuse,0.6410177310947194
37.497998,127.054284,37.4934996,127.059483,37.4936614,127.060342,37.4933452,127.061891,대치,3,0.6787,0.0779,0.7198,Obtuse,0.023100695920426274
37.6757086,126.747456,37.6795248,126.762826,37.6761291,126.746083,37.6754039,126.748194,대화,3,1.4177,1.5211,0.1296,Obtuse,0.05734769037126052
37.4870703,127.050997,37.4918047,127.039998,37.4887272,127.053192,37.4921671,127.05739,도곡,3,1.104,1.2133,0.2673,Obtuse,0.14037258916095433
37.5096086,126.88207,37.5089852,126.889592,37.5100141,126.88216,37.5054568,126.883931,도림천,2,0.6671,0.6655,0.0458,Obtuse,0.01523994755652396
37.6181375,126.933286,37.6199959,126.922637,37.6195709,126.920361,37.6333289,126.920357,독바위,6,0.9604,0.206,1.1495,Obtuse,0.04289620223337969
37.4693934,126.89744,37.4697629,126.897598,37.4542057,126.901202,37.4693934,126.89744,독산,1,0.0434,1.7589,1.7211,Obtuse,0.018550580509105814
37.5718102,127.008095,37.5702694,127.009952,37.5671611,127.008027,37.565206,127.007189,동대문,1,0.2369,0.385,0.517,Obtuse,0.042802422616955854
37.5718102,127.008095,37.5755572,127.018929,37.5732422,127.015318,37.5727105,127.016065,동묘앞,1,1.0417,0.4093,0.6562,Obtuse,0.05665905916964036
37.5646114,127.006487,37.5702694,127.009952,37.5671611,127.008027,37.565206,127.007189,동역사,4,0.6993,0.385,0.3143,Obtuse,0.0
37.5292066,127.136237,37.5273873,127.135532,37.5240282,127.134124,37.52274,127.133906,둔촌동,5,0.2116,0.3936,0.6052,Obtuse,0.0
37.547348,127.048797,37.537146,127.055081,37.5452913,127.054465,37.5464289,127.04909,뚝섬,2,1.2625,0.9073,0.5495,Obtuse,0.22001636310862574
37.4980654,127.146133,37.497135,127.147985,37.4927142,127.145523,37.4997484,127.147629,마천,5,0.1934,0.5374,0.5975,Obtuse,0.05139280402382316
37.4870703,127.050997,37.4866034,127.047085,37.4887272,127.053192,37.4930927,127.041243,매봉,3,0.349,0.5883,0.2673,Obtuse,0.026749178437851153
37.560853,126.983194,37.5639887,126.984722,37.5611327,126.985832,37.560844,126.983081,명동,4,0.3738,0.3323,0.2346,Acute,0.03844419482115074
37.3962919,126.930687,37.3871645,126.930526,37.3993144,126.922948,37.3839591,126.9343,명학,1,1.015,1.5078,0.7618,Obtuse,0.3492928634957027
37.5830795,126.949666,37.5884111,126.944794,37.5887624,126.944545,37.58869,126.943899,무악재,3,0.732,0.0448,0.7765,Obtuse,0.0019511024443871028
37.6138377,127.031,37.6095582,127.030614,37.6256235,127.027074,37.6261282,127.026599,미아,4,0.4771,1.8134,1.3554,Obtuse,0.10466498712562061
37.6138377,127.031,37.6095582,127.030614,37.6256235,127.027074,37.6118286,127.03075,미아사거리,4,0.4771,1.8134,1.3554,Obtuse,0.10466498712562061
37.5095504,127.124699,37.5117865,127.114003,37.509027,127.12549,37.5085392,127.126643,방이,5,0.9756,1.0587,0.0909,Obtuse,0.018717288609892222
37.4842462,126.707391,37.4878835,126.724891,37.4878835,126.724891,37.4765766,126.710168,백운,1,1.5962,0.0,1.5962,Right,0.0
37.2082,127.035235,37.2056848,127.039413,37.2147302,127.042639,37.2126953,127.038256,병정,1,0.4638,1.0456,0.9783,Acute,0.22600860605385228
37.486697,126.742014,37.5037462,126.734966,37.4878835,126.724891,37.4914629,126.722119,부개,1,1.9952,1.9751,1.5165,Acute,1.3909881138291462
37.4828232,126.782346,37.4860511,126.78358,37.4840221,126.782636,37.4850482,126.782079,부천,1,0.3751,0.2405,0.1357,Obtuse,0.002588459912731508
37.4915061,126.721327,37.4891863,126.72336,37.4896712,126.722668,37.4914629,126.722119,부평,1,0.3142,0.0815,0.2359,Obtuse,0.0030755698024268504
37.6123343,126.931694,37.6108279,126.928898,37.6112428,126.9296,37.6093962,126.930282,불광,3,0.2978,0.0772,0.2208,Obtuse,0.0007119731359397939
37.3577203,126.932461,37.3578454,126.930632,37.3592603,126.931184,37.3582878,126.932269,산본,4,0.1623,0.1647,0.2051,Acute,0.013057932395548645
37.5364251,126.973289,37.529584,126.963935,37.5278989,126.963212,37.5270254,126.964876,삼각지,4,1.122,0.1979,1.2994,Obtuse,0.052919704416784175
37.6598221,127.075637,37.6607692,127.073847,37.6479819,127.062254,37.6547494,127.059993,상계,4,0.1895,1.7502,1.7668,Obtuse,0.16573626044276615
37.3022123,126.864758,37.3013838,126.865097,37.3077928,126.852385,37.3086203,126.851244,상록수,4,0.0969,1.3312,1.258,Obtuse,0.041070272618807614
37.563662,127.030177,37.564284,127.028638,37.5651131,127.027982,37.5651131,127.027982,상왕십리,2,0.1523,0.1088,0.2519,Obtuse,0.004261345112285553
37.5533282,126.975105,37.5523812,126.971042,37.5523812,126.971042,37.554823,126.971709,서울,1,0.3733,0.0,0.3733,Right,0.0
37.4920358,127.011311,37.4941797,127.016581,37.4899006,127.009207,37.4906485,127.008597,서초,2,0.5225,0.806,0.3014,Obtuse,0.03309742291319289
37.2981784,126.970209,37.3001702,126.972249,37.2982329,126.971799,37.2989446,126.971573,성균관대,1,0.2857,0.2191,0.1408,Obtuse,0.015034146919330018
37.5442819,127.055222,37.537146,127.055081,37.5452913,127.054465,37.5432179,127.056941,성수,2,0.7936,0.9073,0.1306,Obtuse,0.027242055370076977
37.2642944,127.007887,37.2530302,127.01979,37.2499752,127.022753,37.2627714,127.011235,세류,1,1.6366,0.4292,2.0655,Obtuse,0.014749568717324617
37.483567,126.795097,37.48272,126.795066,37.4855514,126.781354,37.4850482,126.782079,소사,1,0.0942,1.2502,1.2325,Obtuse,0.05738483999932922
37.4863056,126.752768,37.4876571,126.752752,37.4900442,126.752484,37.4883235,126.752581,송내,1,0.1503,0.2665,0.4165,Obtuse,0.0015809580323710283
37.3577203,126.932461,37.3496626,126.944624,37.3592603,126.931184,37.3582878,126.932269,수리산,4,1.3995,1.5969,0.2051,Obtuse,0.041605268059455844
37.6393725,127.026728,37.6376699,127.025674,37.6376699,127.025674,37.6380301,127.026399,수유,4,0.2108,0.0,0.2108,Right,0.0
37.5671231,126.978824,37.564672,126.976561,37.5635549,126.977116,37.5662944,126.979933,시청,2,0.3377,0.1335,0.4244,Obtuse,0.019042143047556373
37.568313,127.051357,37.5652124,127.054219,37.5655811,127.055736,37.5684933,127.051108,신답,2,0.4272,0.1399,0.4912,Obtuse,0.028229501951267104
37.5655737,127.0223,37.5654299,127.020194,37.5657818,127.016606,37.5660161,127.016618,신당,2,0.1863,0.3187,0.5024,Obtuse,0.006200789336044432
37.5177761,127.021415,37.5149201,127.020487,37.5165237,127.02154,37.5165237,127.02154,신사,3,0.328,0.201,0.1397,Obtuse,0.0074235432047805834
37.5253946,126.964662,37.529584,126.963935,37.5288009,126.966628,37.5288009,126.966628,신용산,4,0.4702,0.2529,0.4166,Acute,0.052518770144988146
37.5958336,127.061249,37.5958963,127.061951,37.5982769,127.057922,37.5949249,127.058565,신이문,1,0.0622,0.4428,0.3997,Obtuse,0.009420066670127332
37.5249487,126.854635,37.5214695,126.853556,37.519055,126.853662,37.5219986,126.858815,신정네거리,2,0.3984,0.2686,0.6609,Obtuse,0.014580809360565126
37.5589561,126.941444,37.5552679,126.935573,37.556225,126.939262,37.5563126,126.934791,신촌,2,0.6603,0.3422,0.3595,Obtuse,0.039185096275752535
37.6494255,127.034686,37.6495426,127.034833,37.6483352,127.034867,37.6483352,127.034867,쌍문,4,0.0184,0.1343,0.1223,Obtuse,0.0008924913444958457
37.5585301,126.956066,37.5570794,126.955784,37.5521779,126.95547,37.5582327,126.955818,아현,2,0.1632,0.5457,0.7083,Obtuse,0.004345895811314156
37.5614289,126.978939,37.5763862,126.984334,37.5760258,126.983802,37.5773595,126.985624,안국,3,1.7298,0.0617,1.6787,Obtuse,0.029460466804733656
37.3314874,126.786374,37.3278909,126.790582,37.325921,126.797639,37.3187208,126.837607,안산,4,0.5462,0.6613,1.1727,Obtuse,0.0839694459314627
37.3992249,126.923749,37.3992249,126.923749,37.3993144,126.922948,37.4010894,126.922946,안양,1,0.0,0.0715,0.0715,Right,0.0
37.5247848,127.026893,37.5270459,127.028952,37.5260655,127.020162,37.5262979,127.029393,압구정,3,0.3101,0.7828,0.6104,Obtuse,0.0875256790363039
37.4834001,127.034307,37.4844626,127.036636,37.4847608,127.033369,37.4823632,127.036839,양재,3,0.237,0.2902,0.1725,Acute,0.020436783360793197
37.5152993,126.862289,37.5258698,126.863842,37.5157684,126.86282,37.5280038,126.870592,양천구청,2,1.1833,1.1268,0.0701,Obtuse,0.023952842029287734
37.4862535,126.812186,37.4854596,126.811566,37.4858278,126.810762,37.4835098,126.809287,역곡,1,0.1039,0.0819,0.1343,Obtuse,0.00425261265667575
37.5017983,127.035186,37.4987995,127.028976,37.4990426,127.029881,37.5007531,127.035038,역삼,2,0.6413,0.0843,0.5594,Obtuse,0.00598029512816907
37.6007482,126.918615,37.6122609,126.915997,37.6107935,126.917641,37.6010689,126.926643,역촌,6,1.3008,0.2182,1.1203,Obtuse,0.07390529790800286
37.6188768,126.919863,37.6199959,126.922637,37.6195709,126.920361,37.6185899,126.92188,연신내,3,0.2742,0.206,0.0888,Obtuse,0.006709497399768472
37.5159554,126.906119,37.5179647,126.906195,37.5170614,126.903324,37.516967,126.909262,영등포,1,0.2235,0.2724,0.2755,Acute,0.027948338624261746
37.4953904,126.843362,37.4963372,126.843903,37.4955618,126.843531,37.4961312,126.844853,오류동,1,0.1156,0.0923,0.0242,Obtuse,0.0003375205472911952
37.3496943,126.728254,37.3525972,126.740964,37.3445506,126.736658,37.3692058,126.73017,오이도,4,1.1689,0.9723,0.9376,Acute,0.4411901040676299
37.5419956,127.016692,37.5393647,127.016963,37.5475989,127.022713,37.5429781,127.013332,옥수,3,0.2935,1.0466,0.8185,Obtuse,0.08504617203937156
37.4924527,126.824021,37.4845584,126.811444,37.4858278,126.810762,37.4835098,126.809287,온수,1,1.4149,0.1534,1.3825,Obtuse,0.10470228541660397
37.5157154,127.131044,37.5117865,127.114003,37.5153256,127.133249,37.5133364,127.122997,올림픽공원,5,1.5652,1.7425,0.1992,Obtuse,0.07495173375612121
37.5958336,127.061249,37.5958963,127.061951,37.5982769,127.057922,37.5949249,127.058565,외대앞,1,0.0622,0.4428,0.3997,Obtuse,0.009420066670127332
37.5766431,127.037914,37.5755454,127.032434,37.5655811,127.055736,37.5766913,127.025518,용두,2,0.4981,2.3335,1.995,Obtuse,0.3927879002267439
37.5253946,126.964662,37.529584,126.963935,37.5278989,126.963212,37.529584,126.963935,용산,1,0.4702,0.1979,0.3064,Obtuse,0.020850146722813347
37.6298379,127.058796,37.6158339,127.06421,37.6232687,127.060932,37.6302801,127.057301,월계,1,1.6285,0.8757,0.7543,Obtuse,0.02838390544276827
37.5654398,126.989656,37.5639887,126.984722,37.565331,126.983714,37.5644578,126.990336,을지로3가,3,0.4639,0.1737,0.5239,Obtuse,0.03962762838355606
37.5654398,126.989656,37.5702694,127.009952,37.565331,126.983714,37.5660801,126.997274,을지로4가,2,1.8677,2.3768,0.5239,Obtuse,0.130200861442796
37.5679076,126.982038,37.5639887,126.984722,37.565331,126.983714,37.5656553,126.98342,을지로입구,2,0.4958,0.1737,0.3223,Obtuse,0.0016654618256807014
37.5589561,126.941444,37.5570574,126.946402,37.5588139,126.945518,37.5584718,126.945937,이대,2,0.4854,0.2103,0.3595,Obtuse,0.034460971108974836
37.5204958,126.974698,37.529584,126.963935,37.5205678,126.974404,37.5185953,126.977266,이촌,4,1.3864,1.3629,0.0271,Obtuse,0.009276145458690807
37.5174724,127.103424,37.5084576,127.086865,37.514967,127.104201,37.5151965,127.099213,잠실,2,1.7714,1.6918,0.2869,Obtuse,0.2378257258429261
37.5106572,127.085205,37.5084576,127.086865,37.5113881,127.083611,37.5114529,127.08119,잠실새내,2,0.2851,0.4342,0.1624,Obtuse,0.011275709643558786
37.5109197,127.020136,37.5064161,127.006811,37.5093804,127.007287,37.5099384,127.014344,잠원,3,1.2776,0.3323,1.1462,Obtuse,0.18319977881929006
37.42774,126.992028,37.4203607,126.992074,37.4282627,126.992525,37.4262804,126.991847,정부과천청사,4,0.8206,0.8796,0.0728,Obtuse,0.018110847790357612
37.3511779,126.742899,37.3525972,126.740964,37.3445506,126.736658,37.3446512,126.737323,정왕,4,0.2327,0.9723,0.9205,Obtuse,0.10653642197196803
37.4843469,126.764206,37.5040051,126.77249,37.5015702,126.77606,37.4963304,126.764269,중동,1,2.3048,0.4153,2.1821,Obtuse,0.4431455301197184
37.7195435,127.202468,37.7115346,127.185514,37.7176053,127.180868,37.7228433,127.190227,진접,4,1.737,0.7891,1.9121,Obtuse,0.685321266685268
37.6533666,127.049691,37.6427936,127.036847,37.6521784,127.046801,37.6516199,127.046676,창동,4,1.6312,1.3627,0.2867,Obtuse,0.07489231276768576
37.3222779,126.806584,37.3359191,126.81192,37.325921,126.797639,37.3030962,126.812905,초지,4,1.5885,1.6824,0.8887,Acute,0.6954600904736546
37.560809,126.992532,37.5639887,126.984722,37.561521,126.996391,37.5614128,126.993913,충무로,3,0.7739,1.0645,0.3492,Obtuse,0.0873718246867011
37.5612714,126.962211,37.5570794,126.955784,37.5635549,126.977116,37.5613528,126.963331,충정로,2,0.7336,2.0135,1.3381,Obtuse,0.23412537191690752
37.3938471,126.963246,37.4004913,126.977372,37.3962445,126.965357,37.3961452,126.964928,평촌,4,1.4502,1.1617,0.3253,Obtuse,0.09737314996365673
37.5068254,127.059448,37.4934996,127.059483,37.4936614,127.060342,37.4979818,127.068499,학여울,3,1.4818,0.0779,1.4659,Obtuse,0.056178332470873386
37.3076663,126.852114,37.3064728,126.848845,37.3077928,126.852385,37.3086203,126.851244,한대앞,4,0.3181,0.3458,0.0278,Obtuse,0.00039066822188876994
37.5613633,127.034556,37.5610558,127.038416,37.5589197,127.040644,37.5571353,127.042092,한양대,2,0.342,0.3082,0.6015,Obtuse,0.03706837007427954
37.5482538,126.914825,37.5483998,126.917303,37.5500158,126.909618,37.5499818,126.912175,합정,2,0.2191,0.7009,0.4991,Obtuse,0.025169314670407963
37.5835773,127.000624,37.5832349,126.998643,37.5839648,127.002039,37.5824962,127.002164,혜화,4,0.1787,0.3101,0.1319,Obtuse,0.0013500958026077092
37.555592,126.920645,37.5577577,126.925555,37.5560624,126.923429,37.5547088,126.920273,홍대입구,2,0.4953,0.2658,0.2509,Obtuse,0.0182141487114825
37.2790445,126.998857,37.2840802,126.984727,37.2677636,127.001834,37.2674662,127.002848,화서,1,1.3698,2.3628,1.2817,Obtuse,0.7102208490878883
37.5591677,126.980829,37.5607082,126.979414,37.5554902,126.973735,37.5591677,126.980829,회현,4,0.2119,0.7663,0.7472,Acute,0.07906480064144857
